iter	Passed	Remaining
0	1	1016
1	1	821
2	2	812
3	3	811
4	3	759
5	4	745
6	5	792
7	6	774
8	6	757
9	7	781
10	8	772
11	9	758
12	9	741
13	10	744
14	11	741
15	11	737
16	12	734
17	13	737
18	14	735
19	15	763
20	16	759
21	16	755
22	17	758
23	18	753
24	19	747
25	19	744
26	20	738
27	21	734
28	21	732
29	22	726
30	23	722
31	23	723
32	24	725
33	25	720
34	26	730
35	27	723
36	27	720
37	28	720
38	29	719
39	29	712
40	30	708
41	30	705
42	31	701
43	32	695
44	32	699
45	33	702
46	34	701
47	35	697
48	35	693
49	36	689
50	36	686
51	37	683
52	38	680
53	38	682
54	39	683
55	40	682
56	41	681
57	41	678
58	42	680
59	43	681
60	44	680
61	45	681
62	45	678
63	46	675
64	46	673
65	47	670
66	47	667
67	48	666
68	49	667
69	50	667
70	51	668
71	51	668
72	52	667
73	53	668
74	54	668
75	54	668
76	55	666
77	56	664
78	56	661
79	57	660
80	58	659
81	58	658
82	59	653
83	59	650
84	60	648
85	60	646
86	61	644
87	61	641
88	62	639
89	62	636
90	63	636
91	64	635
92	65	635
93	65	634
94	66	632
95	67	633
96	68	633
97	69	643
98	70	643
99	71	647
100	72	646
101	73	645
102	74	646
103	75	646
104	75	644
105	76	643
106	76	641
107	77	639
108	78	638
109	78	636
110	79	634
111	79	632
112	80	631
113	80	628
114	81	627
115	82	626
116	82	623
117	83	622
118	83	620
119	84	620
120	85	618
121	85	616
122	86	615
123	87	614
124	87	613
125	88	612
126	88	610
127	89	609
128	90	608
129	90	606
130	91	604
131	91	602
132	92	601
133	92	599
134	93	597
135	93	596
136	94	595
137	95	594
138	95	592
139	96	590
140	96	589
141	97	589
142	98	590
143	99	590
144	100	591
145	101	591
146	101	590
147	102	589
148	103	589
149	103	588
150	104	587
151	105	585
152	105	584
153	106	583
154	106	581
155	107	580
156	107	579
157	108	577
158	108	576
159	109	574
160	109	571
161	110	570
162	110	569
163	111	568
164	112	567
165	112	566
166	113	565
167	113	564
168	114	563
169	115	561
170	115	560
171	116	559
172	116	558
173	117	557
174	118	556
175	118	555
176	119	554
177	119	553
178	120	552
179	120	550
180	121	549
181	122	548
182	122	547
183	123	546
184	124	547
185	124	546
186	126	548
187	126	547
188	128	549
189	130	555
190	131	555
191	132	556
192	132	556
193	133	555
194	134	553
195	134	552
196	135	551
197	135	549
198	136	548
199	136	547
200	137	546
201	138	545
202	138	544
203	139	543
204	140	543
205	140	542
206	141	541
207	141	539
208	142	540
209	143	539
210	144	538
211	144	537
212	145	537
213	145	536
214	146	535
215	147	534
216	147	532
217	148	531
218	148	530
219	149	529
220	149	528
221	150	526
222	151	526
223	151	525
224	152	523
225	152	523
226	153	524
227	154	523
228	155	522
229	155	521
230	156	521
231	157	520
232	157	519
233	158	518
234	159	518
235	159	517
236	160	516
237	161	515
238	161	514
239	162	513
240	162	512
241	163	511
242	163	510
243	164	508
244	164	507
245	165	506
246	165	505
247	166	504
248	166	503
249	167	502
250	167	501
251	168	500
252	169	499
253	169	498
254	170	497
255	170	496
256	171	496
257	172	494
258	172	493
259	173	492
260	173	492
261	174	490
262	174	490
263	175	489
264	176	488
265	176	487
266	177	487
267	178	486
268	178	485
269	179	484
270	179	483
271	180	482
272	180	481
273	181	480
274	182	479
275	182	479
276	183	478
277	183	476
278	184	477
279	185	476
280	185	475
281	186	474
282	186	473
283	187	472
284	188	471
285	188	471
286	189	470
287	190	469
288	190	469
289	191	468
290	191	467
291	192	467
292	193	466
293	193	465
294	194	464
295	195	464
296	195	463
297	196	462
298	197	462
299	197	461
300	198	460
301	199	459
302	199	459
303	200	458
304	201	458
305	201	457
306	202	456
307	202	456
308	203	455
309	204	455
310	205	454
311	205	453
312	206	453
313	207	452
314	207	451
315	208	451
316	209	450
317	209	449
318	210	449
319	211	448
320	211	447
321	212	446
322	212	446
323	213	445
324	214	444
325	214	443
326	215	443
327	216	443
328	216	442
329	217	441
330	218	441
331	218	440
332	219	440
333	220	439
334	221	438
335	221	438
336	222	437
337	222	436
338	223	435
339	224	435
340	224	434
341	225	433
342	225	432
343	226	431
344	227	431
345	227	430
346	228	429
347	228	428
348	229	428
349	230	427
350	230	426
351	231	425
352	231	425
353	232	424
354	233	424
355	234	423
356	234	423
357	235	422
358	236	421
359	236	421
360	237	420
361	238	419
362	238	418
363	239	418
364	239	417
365	240	416
366	241	416
367	241	415
368	242	414
369	243	414
370	243	413
371	244	412
372	244	411
373	245	410
374	246	410
375	246	409
376	247	408
377	248	408
378	248	407
379	249	407
380	250	406
381	251	406
382	251	405
383	252	404
384	253	404
385	253	403
386	254	402
387	255	402
388	255	401
389	256	401
390	257	400
391	257	399
392	258	398
393	258	398
394	259	397
395	260	396
396	260	396
397	261	395
398	261	394
399	262	393
400	262	392
401	263	391
402	264	391
403	264	390
404	265	390
405	266	389
406	266	388
407	267	387
408	267	387
409	268	386
410	268	385
411	269	384
412	270	383
413	270	382
414	271	382
415	271	381
416	272	380
417	272	379
418	273	379
419	273	378
420	274	377
421	275	376
422	275	375
423	276	374
424	276	374
425	277	373
426	277	372
427	277	371
428	278	370
429	279	369
430	279	369
431	280	368
432	281	367
433	281	367
434	282	366
435	282	365
436	283	365
437	283	364
438	284	363
439	284	362
440	285	361
441	285	361
442	286	360
443	287	359
444	287	358
445	288	357
446	288	356
447	289	356
448	289	355
449	289	354
450	290	353
451	290	352
452	291	351
453	291	350
454	292	350
455	292	349
456	293	348
457	293	347
458	294	346
459	294	345
460	295	345
461	295	344
462	296	343
463	297	343
464	297	342
465	298	341
466	298	340
467	299	340
468	299	339
469	300	338
470	300	337
471	301	336
472	301	336
473	302	335
474	302	334
475	303	333
476	303	332
477	304	332
478	304	331
479	305	330
480	305	329
481	306	328
482	306	328
483	306	327
484	307	326
485	307	325
486	308	324
487	308	324
488	309	323
489	310	322
490	310	321
491	311	321
492	312	320
493	312	320
494	313	319
495	314	319
496	314	318
497	315	317
498	315	317
499	316	316
500	317	315
501	317	315
502	318	314
503	318	313
504	319	313
505	319	312
506	320	311
507	320	310
508	321	310
509	322	309
510	322	308
511	323	308
512	323	307
513	324	306
514	324	305
515	325	305
516	326	304
517	326	303
518	327	303
519	327	302
520	328	301
521	328	301
522	329	300
523	329	299
524	330	298
525	330	298
526	331	297
527	331	296
528	332	295
529	333	295
530	333	294
531	334	293
532	334	293
533	335	292
534	335	291
535	336	291
536	336	290
537	337	289
538	337	288
539	338	287
540	338	287
541	339	286
542	339	285
543	340	285
544	340	284
545	341	283
546	341	283
547	342	282
548	343	282
549	344	281
550	344	280
551	345	280
552	345	279
553	346	278
554	346	278
555	347	277
556	347	276
557	348	276
558	348	275
559	349	274
560	350	274
561	350	273
562	351	272
563	351	271
564	352	271
565	352	270
566	353	269
567	353	269
568	354	268
569	355	267
570	355	267
571	356	266
572	356	265
573	357	265
574	357	264
575	358	264
576	359	263
577	359	262
578	360	261
579	360	261
580	361	260
581	362	260
582	362	259
583	363	258
584	363	257
585	364	257
586	364	256
587	365	255
588	365	255
589	366	254
590	366	253
591	367	252
592	367	252
593	368	251
594	368	250
595	369	250
596	369	249
597	370	248
598	371	248
599	371	247
600	372	247
601	372	246
602	373	245
603	374	245
604	374	244
605	375	244
606	375	243
607	376	242
608	376	242
609	377	241
610	378	240
611	378	240
612	379	239
613	379	238
614	380	238
615	380	237
616	381	236
617	381	235
618	382	235
619	382	234
620	383	233
621	383	233
622	384	232
623	384	231
624	385	231
625	385	230
626	386	229
627	386	229
628	387	228
629	387	227
630	388	227
631	389	226
632	389	225
633	390	225
634	390	224
635	391	223
636	391	223
637	391	222
638	392	221
639	393	221
640	393	220
641	393	219
642	394	219
643	394	218
644	395	217
645	395	216
646	396	216
647	396	215
648	397	214
649	397	214
650	398	213
651	399	213
652	399	212
653	400	211
654	401	211
655	401	210
656	402	210
657	403	209
658	403	208
659	404	208
660	405	207
661	405	207
662	406	206
663	406	205
664	407	205
665	408	204
666	408	203
667	409	203
668	409	202
669	410	202
670	410	201
671	411	200
672	411	200
673	412	199
674	412	198
675	413	198
676	414	197
677	414	196
678	415	196
679	415	195
680	416	195
681	416	194
682	417	193
683	418	193
684	418	192
685	419	191
686	419	191
687	420	190
688	420	189
689	421	189
690	422	188
691	422	188
692	423	187
693	423	186
694	424	186
695	424	185
696	425	184
697	425	184
698	426	183
699	427	183
700	427	182
701	428	181
702	428	181
703	429	180
704	429	179
705	430	179
706	430	178
707	431	177
708	432	177
709	432	176
710	433	176
711	434	175
712	434	174
713	435	174
714	435	173
715	436	173
716	437	172
717	437	171
718	438	171
719	438	170
720	439	170
721	440	169
